stage,x_bz,y_bz,T_C,eff
1,0.9279928068243725,0.9608254749254819,81.57388271203314,0.7
2,0.8830496118294816,0.937373569138563,82.53084496655374,0.7
3,0.8242542999317011,0.9052712869991716,83.82878732827712,0.7
4,0.7518856654295607,0.8632746356436258,85.50327142484102,0.7
5,0.6947338251029817,0.8115827538566323,86.89047530176171,0.5
6,0.6342089640396726,0.7707600107664392,88.42712961166214,0.5
7,0.5731338556777229,0.7275279671499284,90.05393058557227,0.5
8,0.510637648644477,0.6839028897485435,91.8046019099848,0.5
9,0.4561044658602342,0.6453413982358838,93.40935475446553,0.7
10,0.3899643418841572,0.575227306084529,95.46087202139643,0.7
11,0.3163518094568457,0.4901900038291752,97.893243514494,0.7
12,0.24216073365623472,0.3955453192791826,100.52163528641451,0.7
13,0.17474972992566262,0.30015679324938543,103.08190666821811,0.7
14,0.11918124106695328,0.21348550273876377,105.32915483187446,0.7
15,0.07700443326112556,0.14204030277818547,107.12504844406752,0.7
