stage,x_bz,y_bz,T_C,eff
1,0.8822681978083101,0.9367637852468338,82.54774684939787,0.7
2,0.8185709897112042,0.9040664327837192,83.95713826646265,0.7
3,0.7488855463978196,0.8658481079254555,85.57462373564108,0.7
4,0.6781218222400057,0.824036841937424,87.3050919220971,0.7
5,0.6116463627891282,0.7815786074427379,89.01886587193128,0.7
6,0.5537227219690013,0.7416933317722121,90.5880255780816,0.7
7,0.5065292882680811,0.706939147280136,91.92291687235978,0.7
8,0.47708864785267696,0.6786230870595842,92.78295422668381,0.7
9,0.4428095979106781,0.6426296210924827,93.81216852725316,0.7
10,0.3990499139333054,0.5946389511736838,95.1718507548406,0.7
11,0.3462779066919777,0.5333753936053612,96.8844075485848,0.7
12,0.2869761741594584,0.4594945834675029,98.91157790415677,0.7
13,0.2255714024723556,0.37647215792197586,101.13577002303506,0.7
14,0.1673074005748749,0.2905054775600321,103.3754244132659,0.7
15,0.11654473857455552,0.2089358749035596,105.439062863134,0.7
