stage,x_bz,y_bz,T_C,eff
1,0.9187129301950366,0.9556085664219727,81.76907068218654,0.7
2,0.8687160440931629,0.9292545405455908,82.84234425766388,0.7
3,0.8043178484749768,0.8935424790442518,84.2813406624066,0.7
4,0.7267728653737915,0.8475437678884046,86.10548065908418,0.7
5,0.6127597956777003,0.7921544942446995,88.98941496581213,0.7
6,0.5933701654789784,0.7751507562776052,89.5060520193822,0.7
7,0.5655737475891555,0.7502212317363929,90.26093722823593,0.7
8,0.5270093972750606,0.7144829801637641,91.33716077913556,0.7
9,0.4759364261126803,0.6649002440456416,92.81705575525034,0.7
10,0.41245183183670703,0.5992349954082961,94.74980155803281,0.7
11,0.3397162280466028,0.5176119456249014,97.10320412953013,0.7
12,0.26407648631156927,0.4240947407519097,99.7255229920656,0.7
13,0.1932245491897795,0.3268436442354379,102.36285573802466,0.7
14,0.13325480028412748,0.23574829650742266,104.74761828318947,0.7
15,0.08679110414870672,0.15864433362872743,106.7010523222897,0.7
