study,R,xD_bz,xB_tol,V_proxy,L_proxy,feed_stage,q,Vs_proxy,Ls_proxy
reflux_ratio,1.5,0.9367637852468338,0.9367637852468363,125.0,75.0,,,,
reflux_ratio,2.0,0.9579454371780056,0.9579454371781735,150.0,100.0,,,,
reflux_ratio,2.5,0.9685216858956862,0.9685216858956832,175.0,125.0,,,,
reflux_ratio,3.0,0.9745182025573255,0.9745182025573256,200.0,150.0,,,,
reflux_ratio,3.5,0.9782904062743623,0.9782904062743607,225.0,175.0,,,,
reflux_ratio,4.0,0.9808525423738611,0.9808525423738628,250.0,200.0,,,,
feed_stage,,0.9556085664219727,0.9556085664219722,175.0,125.0,5.0,,,
feed_stage,,0.9630423526378177,0.9630423526379788,175.0,125.0,6.0,,,
feed_stage,,0.9670596014502435,0.9670596014502424,175.0,125.0,7.0,,,
feed_stage,,0.9685216858956862,0.9685216858956832,175.0,125.0,8.0,,,
feed_stage,,0.967711816608151,0.967711816608151,175.0,125.0,9.0,,,
feed_stage,,0.9642937343238375,0.9642937343238387,175.0,125.0,10.0,,,
feed_stage,,0.9572498065806925,0.9572498065806944,175.0,125.0,11.0,,,
feed_q,,0.9685216858956862,0.9685216858956832,175.0,125.0,,1.0,175.0,225.0
feed_q,,0.9993286475362264,0.99999999,175.0,125.0,,0.5,225.0,175.0
feed_q,,0.9981257562966147,0.99999999,175.0,125.0,,0.0,275.0,125.0
