stage,x_bz,y_bz,T_C,eff
1,0.3850535643523809,0.5548172716180854,95.61807801817196,0.7
2,0.2671728969240372,0.43394220911397335,99.61440815260946,0.7
3,0.19691127062808814,0.3502377743453567,102.22097470717229,0.7
4,0.15893691941150573,0.3007309373511807,103.70824417670966,0.7
5,0.1396768252430027,0.2746216751296564,104.48509780529476,0.7
6,0.13052632743649487,0.262525226030401,104.85968956744838,0.7
7,0.12686962055388587,0.2589290294254333,105.01039294988237,0.7
8,0.16205212940172412,0.26182649418838944,103.58404407954139,0.7
9,0.08012144315727233,0.13311246778336744,106.98951984982467,0.7
10,0.027569391267780297,0.04385128102324914,109.33752084258965,0.7
11,1e-08,2.348069678660063e-08,110.62527954830146,0.7
12,1e-08,2.348069678660063e-08,110.62527954830146,0.7
13,1e-08,2.348069678660063e-08,110.62527954830146,0.7
14,1e-08,2.348069678660063e-08,110.62527954830146,0.7
15,1e-08,2.348069678660063e-08,110.62527954830146,0.7
